Parent Path,Name,Href,URL,Is External,ms.author,ms.topic,description,pivot,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,image_formats,portal_steps
Models > Choose a model for your use case,Compare models in leaderboards,ai-foundry/how-to/benchmark-model-in-catalog.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/benchmark-model-in-catalog.md,False,lagayhar,how-to,"In this article, you learn to compare benchmarks across models and datasets, using the model leaderboards (preview) and the benchmarks feature in Azure AI Foundry portal.",,,False,True,False,0,,True,11,"content, .png, content, content, content, content, content, content, content, content, content, content",False
Models > Choose a model for your use case,Explore the model playgrounds,ai-foundry/concepts/concept-playgrounds.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/concepts/concept-playgrounds.md,False,tgokal,concept-article,"Learn to use Azure AI Foundry playgrounds for exploration, experimentation, and iteration with different models.",,,False,True,False,0,,True,10,"content, .png, content, content, content, content, content, content, content, content, content",True
Models > Deploy Foundry Models,Deployment options in Azure AI Foundry portal,ai-foundry/concepts/deployments-overview.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/concepts/deployments-overview.md,False,mopeakande,concept-article,Learn about deployment options for Azure AI Foundry Models.,,,False,True,False,0,,True,1,"content, .png",False
Models > Deploy Foundry Models,Deployment types,ai-foundry/foundry-models/concepts/deployment-types.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/concepts/deployment-types.md,False,mopeakande,how-to,Learn how to use deployment types in Azure AI model deployments,,,False,True,False,0,,True,1,"content, .png",False
Models > Deploy Foundry Models,Configure Models from Partners and Community,ai-foundry/foundry-models/how-to/configure-marketplace.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/configure-marketplace.md,False,ssalgado,how-to,Learn how to configure access to Models from Partners and Community.,,,False,True,False,0,,True,1,"content, .png",False
Models > Deploy Foundry Models,Deploy Foundry Models,ai-foundry/foundry-models/how-to/create-model-deployments.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/create-model-deployments.md,False,ssalgado,how-to,Learn how to add and configure new models to the Azure AI Foundry's inference endpoint.,azure-ai-models-deployment,"ai-foundry-portal, programming-language-cli, programming-language-bicep",False,True,False,0,,False,0,,False
Models > Deploy Foundry Models,Upgrade from GitHub Models to Azure AI Foundry Models,ai-foundry/foundry-models/how-to/quickstart-github-models.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/quickstart-github-models.md,False,ssalgado,how-to,Learn how to upgrade your endpoint from GitHub Models to Azure AI Foundry Models,,,False,True,False,0,,True,2,"content, .gif, content, .png",True
Models > Deploy Foundry Models,Troubleshoot deployments and monitoring,ai-foundry/how-to/troubleshoot-deploy-and-monitor.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/troubleshoot-deploy-and-monitor.md,False,mopeakande,how-to,This article provides instructions on how to troubleshoot your deployments and monitors in Azure AI Foundry portal.,,,True,True,False,0,,False,0,,True
Models > Develop with AI models,Endpoints for Foundry Models,ai-foundry/foundry-models/concepts/endpoints.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/concepts/endpoints.md,False,mopeakande,how-to,Learn about the Azure AI Foundry Models endpoint,,,False,True,False,0,,True,1,"content, .png",False
Models > Develop with AI models,Use Foundry Models in code,ai-foundry/foundry-models/how-to/inference.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/how-to/inference.md,False,mopeakande,how-to,Learn how to use the Azure AI Foundry Models inference endpoint to consume models,,,False,True,False,0,,True,2,"content, .png, content",False
