Parent Path,Name,Href,OtherTOC,URL
Models > Azure OpenAI in Foundry Models,Evaluation,./openai/how-to/evaluations.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/evaluations
Models > Azure OpenAI in Foundry Models > Image & video generation,Image generation,./openai/how-to/dall-e.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/dall-e
Models > Azure OpenAI in Foundry Models > Image & video generation,Video generation (preview),./openai/concepts/video-generation.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/video-generation
Models > Azure OpenAI in Foundry Models,Stored completions,./openai/how-to/stored-completions.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/stored-completions
Models > Azure OpenAI in Foundry Models > Concepts,Assistants,./openai/concepts/assistants.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/assistants
Models > Azure OpenAI in Foundry Models > Concepts,Abuse monitoring,./openai/concepts/abuse-monitoring.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/abuse-monitoring
Models > Azure OpenAI in Foundry Models > Concepts,Audio,./openai/concepts/audio.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/audio
Models > Azure OpenAI in Foundry Models > Concepts,Model router,./openai/concepts/model-router.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/model-router
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filtering overview,./openai/concepts/content-filter.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filtering severity levels,./openai/concepts/content-filter-severity-levels.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter-severity-levels
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Prompt shields,./openai/concepts/content-filter-prompt-shields.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter-prompt-shields
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Groundedness detection,./openai/concepts/content-filter-groundedness.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter-groundedness
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Protected material detection,./openai/concepts/content-filter-protected-material.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter-protected-material
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filter configurability,./openai/concepts/content-filter-configurability.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter-configurability
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content filter annotations,./openai/concepts/content-filter-annotations.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter-annotations
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Document embedding in prompts,./openai/concepts/content-filter-document-embedding.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-filter-document-embedding
Models > Azure OpenAI in Foundry Models > Concepts > Content filtering,Content streaming,./openai/concepts/content-streaming.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/content-streaming
Models > Azure OpenAI in Foundry Models > Concepts,Default safety policies,./openai/concepts/default-safety-policies.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/default-safety-policies
Models > Azure OpenAI in Foundry Models > Concepts,Prompt transformations,./openai/concepts/prompt-transformation.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/prompt-transformation
